index,date,points
1151,2012-03-25,18
1152,2012-03-27,30
1153,2012-03-29,23
1154,2012-03-31,11
1155,2012-04-01,40
1156,2012-04-03,24
1157,2012-04-04,31
1158,2012-04-06,28
1159,2012-04-20,18
1160,2012-04-22,26
1161,2012-10-30,22
1162,2012-10-31,30
1163,2012-11-02,40
1164,2012-11-04,15
1165,2012-11-07,29
1166,2012-11-09,27
1167,2012-11-11,20
1168,2012-11-13,28
1169,2012-11-16,31
1170,2012-11-18,22
1171,2012-11-20,25
1172,2012-11-21,38
1173,2012-11-23,30
1174,2012-11-24,19
1175,2012-11-27,40
1176,2012-11-30,14
1177,2012-12-02,34
1178,2012-12-04,39
1179,2012-12-05,29
1180,2012-12-07,35
1181,2012-12-09,34
1182,2012-12-11,42
1183,2012-12-13,31
1184,2012-12-14,30
1185,2012-12-16,34
1186,2012-12-18,30
1187,2012-12-22,34
1188,2012-12-25,34
1189,2012-12-26,40
1190,2012-12-28,27
1191,2013-01-01,36
1192,2013-01-04,38
1193,2013-01-06,29
1194,2013-01-08,20
1195,2013-01-09,27
1196,2013-01-11,28
1197,2013-01-13,23
1198,2013-01-15,31
1199,2013-01-17,22
1200,2013-01-20,26
1201,2013-01-21,16
1202,2013-01-23,29
1203,2013-01-25,14
1204,2013-01-27,21
1205,2013-01-29,14
1206,2013-01-30,17
1207,2013-02-01,17
1208,2013-02-03,18
1209,2013-02-05,21
1210,2013-02-07,27
1211,2013-02-08,20
1212,2013-02-10,28
1213,2013-02-12,4
1214,2013-02-14,20
1215,2013-02-20,16
1216,2013-02-22,40
1217,2013-02-24,38
1218,2013-02-25,29
1219,2013-02-28,33
1220,2013-03-03,34
1221,2013-03-05,30
1222,2013-03-06,42
1223,2013-03-08,41
1224,2013-03-10,19
1225,2013-03-12,11
1226,2013-03-13,31
1227,2013-03-15,0
1228,2013-03-22,21
1229,2013-03-25,36
1230,2013-03-27,31
1231,2013-03-28,30
1232,2013-03-30,19
1233,2013-04-02,23
1234,2013-04-05,24
1235,2013-04-07,25
1236,2013-04-09,30
1237,2013-04-10,47
1238,2013-04-12,34
1239,2013-12-08,9
1240,2013-12-10,20
1241,2013-12-13,4
1242,2013-12-14,21
1243,2013-12-16,8
1244,2013-12-17,21
1245,2014-10-28,19
1246,2014-10-29,31
