index,date,points,fgp
807,2014-01-26,18,.533
808,2014-01-29,34,.600
809,2014-02-01,30,.591
810,2014-02-03,24,.474
811,2014-02-05,31,.550
812,2014-02-08,13,.308
813,2014-02-11,37,.545
814,2014-02-12,36,.538
815,2014-02-18,42,.696
816,2014-02-20,33,.682
817,2014-02-27,31,.684
818,2014-03-01,20,.667
819,2014-03-03,61,.667
820,2014-03-04,22,.500
821,2014-03-06,19,.333
822,2014-03-09,17,.348
823,2014-03-10,23,.667
824,2014-03-12,19,.462
825,2014-03-14,21,.471
826,2014-03-16,24,.471
827,2014-03-18,43,.737
828,2014-03-21,15,.500
829,2014-03-22,25,.556
830,2014-03-24,32,.565
831,2014-03-26,38,.579
832,2014-03-28,17,.538
833,2014-03-29,13,.500
834,2014-03-31,32,.550
835,2014-04-02,17,.583
836,2014-04-04,34,.500
837,2014-04-06,38,.591
838,2014-04-08,29,.563
839,2014-04-09,37,.609
840,2014-04-11,36,.550
841,2014-04-12,27,.455
842,2014-10-30,17,.333
843,2014-10-31,36,.467
844,2014-11-04,11,.333
845,2014-11-05,31,.444
846,2014-11-07,22,.444
847,2014-11-10,32,.529
848,2014-11-14,41,.593
849,2014-11-15,32,.650
850,2014-11-17,22,.444
851,2014-11-19,15,.353
852,2014-11-21,22,.381
853,2014-11-22,15,.500
854,2014-11-24,29,.529
855,2014-11-26,29,.500
856,2014-11-29,19,.500
857,2014-12-02,26,.400
858,2014-12-04,19,.412
859,2014-12-05,24,.500
860,2014-12-08,18,.471
861,2014-12-09,35,.571
862,2014-12-12,41,.708
863,2014-12-15,27,.579
864,2014-12-17,21,.500
865,2014-12-19,22,.389
866,2014-12-21,25,.600
867,2014-12-23,24,.500
868,2014-12-25,30,.563
869,2014-12-26,29,.500
870,2014-12-28,17,.263
871,2015-01-13,33,.611
872,2015-01-15,36,.522
873,2015-01-16,32,.478
874,2015-01-19,26,.522
875,2015-01-21,26,.500
876,2015-01-23,25,.600
877,2015-01-25,34,.440
878,2015-01-27,32,.458
879,2015-01-30,19,.438
880,2015-01-31,36,.560
881,2015-02-02,18,.353
882,2015-02-05,23,.571
883,2015-02-06,25,.476
884,2015-02-08,22,.500
885,2015-02-11,18,.375
886,2015-02-12,31,.462
887,2015-02-20,28,.571
888,2015-02-22,18,.412
889,2015-02-24,19,.429
890,2015-02-26,42,.600
891,2015-03-01,37,.429
892,2015-03-03,27,.522
893,2015-03-04,29,.563
894,2015-03-06,18,.385
895,2015-03-07,17,.375
896,2015-03-10,27,.714
897,2015-03-12,31,.500
898,2015-03-15,21,.643
899,2015-03-16,26,.421
900,2015-03-18,16,.385
901,2015-03-20,29,.500
902,2015-03-22,28,.588
903,2015-03-25,20,.467
904,2015-03-27,24,.533
905,2015-03-29,20,.333
906,2015-04-02,23,.563
907,2015-04-05,20,.471
908,2015-04-08,21,.533
909,2015-04-10,14,.357
910,2015-04-13,21,.412
911,2015-10-27,25,.545
912,2015-10-28,12,.308
913,2015-10-30,29,.684
914,2015-11-02,22,.474
915,2015-11-04,23,.391
916,2015-11-06,31,.545
917,2015-11-08,29,.435
918,2015-11-10,31,.579
919,2015-11-13,31,.571
920,2015-11-14,37,.481
921,2015-11-17,30,.524
922,2015-11-19,27,.692
923,2015-11-21,19,.533
924,2015-11-23,15,.500
925,2015-11-25,24,.375
926,2015-11-27,25,.400
927,2015-11-28,26,.455
928,2015-12-01,24,.400
929,2015-12-04,37,.448
930,2015-12-08,33,.583
931,2015-12-11,25,.667
932,2015-12-15,24,.500
933,2015-12-17,33,.444
934,2015-12-20,23,.588
935,2015-12-23,24,.409
936,2015-12-25,25,.385
