index,dates,points
977,2002-02-14,16
978,2002-02-15,22
979,2002-02-18,11
980,2002-02-21,16
981,2002-02-23,37
982,2002-02-24,9
983,2002-03-20,7
984,2002-03-21,11
985,2002-03-24,14
986,2002-03-26,9
987,2002-03-29,34
988,2002-03-31,10
989,2002-04-02,2
990,2002-10-30,8
991,2002-10-31,21
992,2002-11-02,21
993,2002-11-05,10
994,2002-11-06,6
995,2002-11-08,25
996,2002-11-09,12
997,2002-11-12,27
998,2002-11-14,19
999,2002-11-16,8
1000,2002-11-17,19
1001,2002-11-22,8
1002,2002-11-23,20
1003,2002-11-26,28
1004,2002-11-29,14
1005,2002-11-30,16
1006,2002-12-03,25
1007,2002-12-04,21
1008,2002-12-06,16
1009,2002-12-07,20
1010,2002-12-10,14
1011,2002-12-13,12
1012,2002-12-15,2
1013,2002-12-17,30
1014,2002-12-18,33
1015,2002-12-21,16
1016,2002-12-23,13
1017,2002-12-26,17
1018,2002-12-28,10
1019,2002-12-30,21
1020,2002-12-31,17
1021,2003-01-02,10
1022,2003-01-04,41
1023,2003-01-06,19
1024,2003-01-08,14
1025,2003-01-10,14
1026,2003-01-11,23
1027,2003-01-14,22
1028,2003-01-16,32
1029,2003-01-18,25
1030,2003-01-20,25
1031,2003-01-22,18
1032,2003-01-24,11
1033,2003-01-25,17
1034,2003-01-27,19
1035,2003-01-29,8
1036,2003-01-30,24
1037,2003-02-01,45
1038,2003-02-04,27
1039,2003-02-11,12
1040,2003-02-12,23
1041,2003-02-14,11
1042,2003-02-19,20
1043,2003-02-21,43
1044,2003-02-23,30
1045,2003-02-25,25
1046,2003-02-27,35
1047,2003-03-01,17
1048,2003-03-02,21
1049,2003-03-04,4
1050,2003-03-05,10
1051,2003-03-07,27
1052,2003-03-09,39
1053,2003-03-11,23
1054,2003-03-14,15
1055,2003-03-15,19
1056,2003-03-18,23
1057,2003-03-21,14
1058,2003-03-23,24
1059,2003-03-25,25
1060,2003-03-26,26
1061,2003-03-28,23
1062,2003-03-30,19
1063,2003-04-02,17
1064,2003-04-03,22
1065,2003-04-06,25
1066,2003-04-08,26
1067,2003-04-09,21
1068,2003-04-11,25
1069,2003-04-12,17
1070,2003-04-14,21
1071,2003-04-16,15
