index,date,points,fgp,result
597,2017-03-06,39,.650,L (-2)
598,2017-03-08,35,.455,L (-7)
599,2017-03-10,19,.375,W (+21)
600,2017-03-12,38,.464,W (+5)
601,2017-03-15,18,.500,W (+39)
602,2017-03-17,41,.571,L (-16)
603,2017-03-18,40,.478,W (+4)
604,2017-03-20,39,.448,W (+1)
605,2017-03-24,38,.500,W (+10)
606,2017-03-26,22,.533,W (+12)
607,2017-03-28,24,.250,L (-7)
608,2017-03-30,30,.367,L (-10)
609,2017-03-31,17,.235,L (-9)
610,2017-04-05,31,.421,W (+7)
611,2017-04-07,33,.400,W (+6)
612,2017-04-09,35,.409,L (-5)
613,2017-04-10,14,.222,W (+7)
614,2017-04-12,27,.615,L (-29)
615,2017-10-17,27,.435,W (+1)
616,2017-10-18,27,.381,W (+5)
617,2017-10-21,29,.526,W (+16)
618,2017-10-23,22,.400,L (-8)
619,2017-10-25,27,.500,W (+1)
620,2017-10-27,27,.444,W (+16)
621,2017-10-28,20,.316,L (-14)
622,2017-10-30,29,.381,L (-8)
623,2017-11-01,31,.391,W (+22)
624,2017-11-03,29,.533,W (+15)
625,2017-11-05,56,.760,W (+27)
626,2017-11-09,35,.381,W (+4)
627,2017-11-11,38,.440,W (+15)
628,2017-11-12,26,.429,W (+23)
629,2017-11-14,38,.320,L (-16)
630,2017-11-16,48,.545,W (+26)
631,2017-11-18,29,.450,W (+22)
632,2017-11-22,21,.375,W (+30)
633,2017-11-25,37,.444,W (+15)
634,2017-11-27,37,.650,W (+14)
635,2017-11-29,29,.364,W (+21)
636,2017-12-03,36,.591,W (+23)
637,2017-12-07,29,.421,W (+11)
638,2017-12-09,48,.552,W (+7)
639,2017-12-11,26,.500,W (+7)
640,2017-12-13,21,.364,W (+12)
641,2017-12-15,28,.333,W (+15)
642,2017-12-16,31,.381,W (+4)
643,2017-12-18,26,.353,W (+21)
644,2017-12-20,51,.556,L (-6)
645,2017-12-22,51,.536,L (-10)
646,2017-12-25,29,.389,L (-5)
647,2017-12-28,34,.259,L (-1)
648,2017-12-29,20,.500,L (-18)
649,2017-12-31,40,.500,W (+6)
650,2018-01-18,10,.200,W (+18)
651,2018-01-20,22,.500,L (-10)
652,2018-01-22,28,.385,L (-7)
653,2018-01-24,25,.563,W (+9)
654,2018-01-26,23,.313,W (+9)
655,2018-01-28,27,.381,W (+17)
656,2018-01-30,60,.633,L (-11)
657,2018-02-01,28,.500,W (+18)
658,2018-02-03,16,.313,W (+8)
659,2018-02-06,36,.478,W (+9)
660,2018-02-07,41,.520,W (+7)
661,2018-02-09,28,.438,L (-2)
662,2018-02-11,27,.316,W (+11)
663,2018-02-13,34,.500,W (+7)
664,2018-02-14,28,.368,W (+11)
665,2018-02-23,31,.320,W (+32)
666,2018-02-25,41,.550,W (+10)
667,2018-02-26,26,.615,W (+8)
668,2018-02-28,25,.500,W (+26)
669,2018-03-03,26,.333,W (+7)
670,2018-03-06,23,.615,W (+18)
671,2018-03-07,26,.400,W (+9)
672,2018-03-09,40,.682,W (+18)
673,2018-03-12,28,.353,W (+5)
674,2018-03-15,24,.438,W (+11)
675,2018-03-17,32,.393,W (+13)
676,2018-03-18,34,.500,W (+3)
677,2018-03-20,42,.520,W (+10)
678,2018-03-22,21,.200,W (+11)
679,2018-03-24,27,.458,L (-3)
680,2018-03-25,18,.400,W (+23)
681,2018-03-30,28,.381,W (+16)
682,2018-04-01,25,.421,W (+5)
683,2018-04-03,38,.667,W (+6)
684,2018-04-05,24,.538,W (+9)
685,2018-04-07,26,.438,W (+4)
686,2018-04-10,21,.400,W (+4)
687,2018-10-17,18,.400,L (-19)
688,2018-10-20,36,.526,W (+9)
689,2018-10-21,31,.423,L (-3)
690,2018-10-24,29,.526,L (-11)
691,2018-11-03,25,.412,L (-20)
692,2018-11-05,28,.467,L (-19)
693,2018-11-08,19,.368,W (+8)
694,2018-11-10,25,.259,W (+8)
695,2018-11-11,40,.450,W (+4)
